,Adj_Close,Close,Date,High,Low,Open,Symbol,Volume
0,771.820007,771.820007,2016-12-30,782.780029,770.409973,782.75,GOOG,1760200
1,782.789978,782.789978,2016-12-29,785.929993,778.919983,783.330017,GOOG,742200
2,785.049988,785.049988,2016-12-28,794.22998,783.200012,793.700012,GOOG,1132700
3,791.549988,791.549988,2016-12-27,797.859985,787.656982,790.679993,GOOG,789100
4,789.909973,789.909973,2016-12-23,792.73999,787.280029,790.900024,GOOG,623400
5,791.26001,791.26001,2016-12-22,793.320007,788.580017,792.359985,GOOG,969100
6,794.559998,794.559998,2016-12-21,796.676025,787.099976,795.840027,GOOG,1208700
7,796.419983,796.419983,2016-12-20,798.650024,793.27002,796.76001,GOOG,925100
8,794.200012,794.200012,2016-12-19,797.659973,786.27002,790.219971,GOOG,1225900
9,790.799988,790.799988,2016-12-16,800.856018,790.289978,800.400024,GOOG,2428300
10,797.849976,797.849976,2016-12-15,803.00,792.919983,797.340027,GOOG,1623700
11,797.070007,797.070007,2016-12-14,804.00,794.01001,797.400024,GOOG,1664500
12,796.099976,796.099976,2016-12-13,804.380005,793.340027,793.900024,GOOG,2119800
13,789.27002,789.27002,2016-12-12,791.25,784.35498,785.039978,GOOG,2097100
14,789.289978,789.289978,2016-12-09,789.429993,779.020996,780.00,GOOG,1780500
15,776.419983,776.419983,2016-12-08,778.179993,767.22998,772.47998,GOOG,1448200
16,771.190002,771.190002,2016-12-07,771.359985,755.799988,761.00,GOOG,1750800
17,759.109985,759.109985,2016-12-06,768.830017,757.340027,764.72998,GOOG,1632800
18,762.52002,762.52002,2016-12-05,763.900024,752.900024,757.710022,GOOG,1382900
19,750.50,750.50,2016-12-02,754.00,743.099976,744.590027,GOOG,1448700
20,747.919983,747.919983,2016-12-01,759.849976,737.025024,757.440002,GOOG,2996900
21,758.039978,758.039978,2016-11-30,772.98999,754.830017,770.070007,GOOG,2365800
22,770.840027,770.840027,2016-11-29,778.50,768.23999,771.530029,GOOG,1604500
23,768.23999,768.23999,2016-11-28,779.530029,759.799988,760.00,GOOG,2172200
24,761.679993,761.679993,2016-11-25,765.00,760.52002,764.26001,GOOG,586000
25,760.98999,760.98999,2016-11-23,768.28302,755.25,767.72998,GOOG,1477400
26,768.27002,768.27002,2016-11-22,776.960022,767.00,772.630005,GOOG,1591800
27,769.200012,769.200012,2016-11-21,769.700012,760.599976,762.609985,GOOG,1323000
28,760.539978,760.539978,2016-11-18,775.00,760.00,771.369995,GOOG,1526200
29,771.22998,771.22998,2016-11-17,772.700012,764.22998,766.919983,GOOG,1287000
30,764.47998,764.47998,2016-11-16,766.359985,750.51001,755.200012,GOOG,1465200
31,758.48999,758.48999,2016-11-15,764.416016,746.969971,746.969971,GOOG,2341200
32,736.080017,736.080017,2016-11-14,757.849976,727.539978,755.599976,GOOG,3631700
33,754.02002,754.02002,2016-11-11,760.780029,750.380005,756.539978,GOOG,2394000
34,762.559998,762.559998,2016-11-10,791.169983,752.179993,791.169983,GOOG,4740100
35,785.309998,785.309998,2016-11-09,791.22699,771.669983,779.940002,GOOG,2602700
36,790.51001,790.51001,2016-11-08,795.632996,780.190002,783.400024,GOOG,1350800
37,782.52002,782.52002,2016-11-07,785.190002,772.549988,774.50,GOOG,1585100
38,762.02002,762.02002,2016-11-04,770.359985,750.560974,750.659973,GOOG,2134800
39,762.130005,762.130005,2016-11-03,769.950012,759.030029,767.25,GOOG,1943200
40,768.700012,768.700012,2016-11-02,781.650024,763.450012,778.200012,GOOG,1872400
41,783.609985,783.609985,2016-11-01,789.48999,775.539978,782.890015,GOOG,2406400
42,784.539978,784.539978,2016-10-31,796.859985,784.00,795.469971,GOOG,2427300
43,795.369995,795.369995,2016-10-28,815.48999,793.590027,808.349976,GOOG,4269900
44,795.349976,795.349976,2016-10-27,803.48999,791.50,801.00,GOOG,2749200
45,799.070007,799.070007,2016-10-26,806.97998,796.320007,806.340027,GOOG,1647700
46,807.669983,807.669983,2016-10-25,816.679993,805.140015,816.679993,GOOG,1576400
47,813.109985,813.109985,2016-10-24,815.179993,804.820007,804.900024,GOOG,1697500
48,799.369995,799.369995,2016-10-21,799.50,794.00,795.00,GOOG,1266200
49,796.969971,796.969971,2016-10-20,803.969971,796.030029,803.299988,GOOG,1757500
50,801.50,801.50,2016-10-19,804.599976,798.030029,798.23999,GOOG,1766800
51,795.26001,795.26001,2016-10-18,801.609985,785.565002,787.849976,GOOG,2056900
52,779.960022,779.960022,2016-10-17,785.849976,777.50,779.799988,GOOG,1093000
53,778.530029,778.530029,2016-10-14,783.950012,776.00,781.650024,GOOG,852500
54,778.190002,778.190002,2016-10-13,781.219971,773.00,781.219971,GOOG,1365300
55,786.140015,786.140015,2016-10-12,788.130005,782.059998,783.76001,GOOG,937400
56,783.070007,783.070007,2016-10-11,792.280029,780.580017,786.659973,GOOG,1372500
57,785.940002,785.940002,2016-10-10,789.380005,775.869995,777.710022,GOOG,1174900
58,775.080017,775.080017,2016-10-07,779.659973,770.75,779.659973,GOOG,933200
59,776.859985,776.859985,2016-10-06,780.47998,775.539978,779.00,GOOG,1070700
60,776.469971,776.469971,2016-10-05,782.070007,775.650024,779.309998,GOOG,1461200
61,776.429993,776.429993,2016-10-04,778.710022,772.890015,776.030029,GOOG,1201400
62,772.559998,772.559998,2016-10-03,776.065002,769.50,774.25,GOOG,1278800
63,777.289978,777.289978,2016-09-30,780.940002,774.090027,776.330017,GOOG,1585300
64,775.01001,775.01001,2016-09-29,785.799988,774.231995,781.440002,GOOG,1314700
65,781.559998,781.559998,2016-09-28,781.809998,774.969971,777.849976,GOOG,1109800
66,783.01001,783.01001,2016-09-27,785.98999,774.307983,775.50,GOOG,1153200
67,774.210022,774.210022,2016-09-26,782.73999,773.070007,782.73999,GOOG,1533200
68,786.900024,786.900024,2016-09-23,788.929993,784.150024,786.590027,GOOG,1411900
69,787.210022,787.210022,2016-09-22,789.849976,778.440002,780.00,GOOG,1486200
70,776.219971,776.219971,2016-09-21,777.159973,768.301025,772.659973,GOOG,1167800
71,771.409973,771.409973,2016-09-20,773.330017,768.530029,769.00,GOOG,978600
72,765.700012,765.700012,2016-09-19,774.00,764.440979,772.419983,GOOG,1172800
73,768.880005,768.880005,2016-09-16,769.75,764.659973,769.75,GOOG,2049300
74,771.76001,771.76001,2016-09-15,773.799988,759.960022,762.890015,GOOG,1305100
75,762.48999,762.48999,2016-09-14,767.679993,759.109985,759.609985,GOOG,1087400
76,759.690002,759.690002,2016-09-13,766.219971,755.799988,764.47998,GOOG,1395000
77,769.02002,769.02002,2016-09-12,770.289978,754.00,755.130005,GOOG,1311000
78,759.659973,759.659973,2016-09-09,773.244995,759.659973,770.099976,GOOG,1885500
79,775.320007,775.320007,2016-09-08,780.349976,773.580017,778.590027,GOOG,1270300
80,780.349976,780.349976,2016-09-07,782.72998,776.200012,780.00,GOOG,893700
81,780.080017,780.080017,2016-09-06,782.00,771.00,773.450012,GOOG,1442800
82,771.460022,771.460022,2016-09-02,773.919983,768.409973,773.01001,GOOG,1072700
83,768.780029,768.780029,2016-09-01,771.02002,764.299988,769.25,GOOG,925100
84,767.049988,767.049988,2016-08-31,769.090027,765.380005,767.01001,GOOG,1248600
85,769.090027,769.090027,2016-08-30,774.466003,766.840027,769.330017,GOOG,1130000
86,772.150024,772.150024,2016-08-29,774.98999,766.61499,768.73999,GOOG,847600
87,769.539978,769.539978,2016-08-26,776.080017,765.849976,769.00,GOOG,1166700
88,769.409973,769.409973,2016-08-25,771.890015,763.184998,767.00,GOOG,926900
89,769.640015,769.640015,2016-08-24,774.50,767.070007,770.580017,GOOG,1072000
90,772.080017,772.080017,2016-08-23,776.440002,771.784973,775.47998,GOOG,928200
91,772.150024,772.150024,2016-08-22,774.539978,770.049988,773.27002,GOOG,951400
92,775.419983,775.419983,2016-08-19,777.099976,773.130005,775.00,GOOG,861500
93,777.50,777.50,2016-08-18,782.859985,777.00,780.01001,GOOG,719400
