,Adj_Close,Close,Date,High,Low,Open,Symbol,Volume
0,38.669998,38.669998,2016-12-30,39.00,38.43,38.720001,YHOO,6431600
1,38.639999,38.639999,2016-12-29,38.93,38.48,38.759998,YHOO,4170200
2,38.73,38.73,2016-12-28,39.220001,38.709999,39.119999,YHOO,4393500
3,38.919998,38.919998,2016-12-27,39.07,38.50,38.59,YHOO,4240300
4,38.66,38.66,2016-12-23,38.810001,38.369999,38.459999,YHOO,3840100
5,38.50,38.50,2016-12-22,38.790001,38.259998,38.689999,YHOO,11685600
6,39.150002,39.150002,2016-12-21,39.32,38.970001,39.080002,YHOO,8263600
7,39.16,39.16,2016-12-20,39.18,38.240002,38.400002,YHOO,15007900
8,38.419998,38.419998,2016-12-19,38.790001,38.27,38.66,YHOO,13607200
9,38.610001,38.610001,2016-12-16,39.220001,38.419998,38.619999,YHOO,21447400
10,38.41,38.41,2016-12-15,40.00,38.25,40.00,YHOO,43656200
11,40.91,40.91,2016-12-14,41.529999,40.830002,41.439999,YHOO,19296600
12,41.470001,41.470001,2016-12-13,41.790001,41.139999,41.349998,YHOO,6500400
13,41.299999,41.299999,2016-12-12,41.529999,41.130001,41.450001,YHOO,4451500
14,41.759998,41.759998,2016-12-09,41.799999,41.439999,41.52,YHOO,6836000
15,41.41,41.41,2016-12-08,41.599998,40.419998,40.66,YHOO,9169400
16,40.52,40.52,2016-12-07,40.57,39.75,39.98,YHOO,7199000
17,39.970001,39.970001,2016-12-06,40.419998,39.880001,40.310001,YHOO,6943800
18,40.200001,40.200001,2016-12-05,40.389999,39.849998,40.02,YHOO,4401700
19,40.07,40.07,2016-12-02,40.32,39.580002,39.77,YHOO,8568100
20,39.630001,39.630001,2016-12-01,41.040001,39.529999,41.00,YHOO,12614600
21,41.02,41.02,2016-11-30,41.669998,40.880001,41.619999,YHOO,7624500
22,41.599998,41.599998,2016-11-29,41.830002,41.119999,41.43,YHOO,7246100
23,41.450001,41.450001,2016-11-28,41.700001,40.740002,40.849998,YHOO,6765800
24,40.869999,40.869999,2016-11-25,41.080002,40.709999,41.080002,YHOO,2586900
25,40.959999,40.959999,2016-11-23,40.98,40.549999,40.91,YHOO,3634900
26,41.009998,41.009998,2016-11-22,41.400002,40.830002,41.200001,YHOO,8881200
27,41.110001,41.110001,2016-11-21,41.48,40.939999,41.439999,YHOO,11338000
28,41.189999,41.189999,2016-11-18,41.650002,40.900002,41.48,YHOO,8129700
29,41.450001,41.450001,2016-11-17,41.650002,41.200001,41.34,YHOO,8689300
30,40.98,40.98,2016-11-16,41.049999,40.099998,40.099998,YHOO,15592700
31,40.209999,40.209999,2016-11-15,40.450001,39.580002,39.610001,YHOO,10851400
32,39.299999,39.299999,2016-11-14,40.389999,38.869999,40.360001,YHOO,12687400
33,40.419998,40.419998,2016-11-11,40.52,39.369999,39.84,YHOO,15178200
34,40.16,40.16,2016-11-10,41.650002,39.540001,41.549999,YHOO,16441900
35,41.209999,41.209999,2016-11-09,41.389999,40.220001,40.439999,YHOO,23998600
36,41.16,41.16,2016-11-08,41.279999,40.68,40.970001,YHOO,4227100
37,41.049999,41.049999,2016-11-07,41.23,40.860001,41.169998,YHOO,5388700
38,40.279999,40.279999,2016-11-04,40.669998,39.799999,39.959999,YHOO,4574200
39,40.23,40.23,2016-11-03,40.75,40.169998,40.619999,YHOO,7811600
40,40.68,40.68,2016-11-02,42.16,40.360001,41.799999,YHOO,13017500
41,41.330002,41.330002,2016-11-01,41.34,40.689999,41.130001,YHOO,11748900
42,41.549999,41.549999,2016-10-31,42.16,41.549999,42.029999,YHOO,3730800
43,41.779999,41.779999,2016-10-28,42.220001,41.709999,42.029999,YHOO,6180200
44,41.869999,41.869999,2016-10-27,42.490002,41.810001,42.310001,YHOO,7236500
45,42.080002,42.080002,2016-10-26,42.439999,41.950001,42.259998,YHOO,6117200
46,42.549999,42.549999,2016-10-25,42.75,42.43,42.720001,YHOO,5338900
47,42.59,42.59,2016-10-24,42.68,42.380001,42.50,YHOO,4346900
48,42.169998,42.169998,2016-10-21,42.200001,41.73,42.099998,YHOO,7194200
49,42.380001,42.380001,2016-10-20,42.689999,42.07,42.689999,YHOO,11671000
50,42.73,42.73,2016-10-19,42.939999,42.259998,42.299999,YHOO,14532500
51,41.68,41.68,2016-10-18,42.610001,41.630001,42.040001,YHOO,19360800
52,41.790001,41.790001,2016-10-17,41.939999,41.240002,41.349998,YHOO,8620400
53,41.439999,41.439999,2016-10-14,42.25,41.41,42.040001,YHOO,7781300
54,41.619999,41.619999,2016-10-13,42.080002,41.169998,42.00,YHOO,15689700
55,42.360001,42.360001,2016-10-12,42.779999,42.049999,42.599998,YHOO,7290500
56,42.68,42.68,2016-10-11,44.080002,42.490002,43.869999,YHOO,9513300
57,43.919998,43.919998,2016-10-10,44.07,43.25,43.360001,YHOO,6573600
58,43.220001,43.220001,2016-10-07,43.68,43.119999,43.259998,YHOO,8502100
59,43.68,43.68,2016-10-06,43.82,43.369999,43.639999,YHOO,6293900
60,43.709999,43.709999,2016-10-05,43.869999,43.220001,43.23,YHOO,6117900
61,43.18,43.18,2016-10-04,43.50,42.959999,43.200001,YHOO,8998400
