Adj_Close,Close,Date,High,Low,Open,Symbol,Volume
835.23999,835.23999,2017-03-01,836.255005,827.26001,828.849976,GOOG,1491400
823.210022,823.210022,2017-02-28,828.539978,820.200012,825.609985,GOOG,2252300
829.280029,829.280029,2017-02-27,830.50,824.00,824.549988,GOOG,1099500
828.640015,828.640015,2017-02-24,829.00,824.200012,827.72998,GOOG,1386600
831.330017,831.330017,2017-02-23,832.460022,822.880005,830.119995,GOOG,1470100
830.76001,830.76001,2017-02-22,833.25,828.640015,828.659973,GOOG,982900
831.659973,831.659973,2017-02-21,833.450012,828.349976,828.659973,GOOG,1247700
828.070007,828.070007,2017-02-17,828.070007,821.655029,823.02002,GOOG,1597800
824.159973,824.159973,2017-02-16,824.400024,818.97998,819.929993,GOOG,1281700
818.97998,818.97998,2017-02-15,823.00,818.469971,819.359985,GOOG,1304000
820.450012,820.450012,2017-02-14,823.00,816.00,819.00,GOOG,1053600
819.23999,819.23999,2017-02-13,820.958984,815.48999,816.00,GOOG,1198100
813.669983,813.669983,2017-02-10,815.25,809.780029,811.700012,GOOG,1129100
809.559998,809.559998,2017-02-09,810.659973,804.539978,809.51001,GOOG,989700
808.380005,808.380005,2017-02-08,811.840027,803.190002,807.00,GOOG,1155300
806.969971,806.969971,2017-02-07,810.50,801.780029,803.98999,GOOG,1235200
801.340027,801.340027,2017-02-06,801.669983,795.25,799.700012,GOOG,1174200
801.48999,801.48999,2017-02-03,806.00,800.369995,802.98999,GOOG,1460400
798.530029,798.530029,2017-02-02,802.700012,792.00,793.799988,GOOG,1525800
795.695007,795.695007,2017-02-01,801.190002,791.190002,799.679993,GOOG,2023300
796.789978,796.789978,2017-01-31,801.25,790.52002,796.859985,GOOG,2143500
802.320007,802.320007,2017-01-30,815.840027,799.799988,814.659973,GOOG,3228900
823.309998,823.309998,2017-01-27,841.950012,820.440002,834.710022,GOOG,2951800
832.150024,832.150024,2017-01-26,838.00,827.01001,837.809998,GOOG,2734400
835.669983,835.669983,2017-01-25,835.77002,825.059998,829.619995,GOOG,1494500
823.869995,823.869995,2017-01-24,825.900024,817.820984,822.299988,GOOG,1461000
819.309998,819.309998,2017-01-23,820.869995,803.73999,807.25,GOOG,1901600
805.02002,805.02002,2017-01-20,806.909973,801.690002,806.909973,GOOG,1645000
802.174988,802.174988,2017-01-19,809.47998,801.799988,805.119995,GOOG,912000
