Adj_Close,Close,Date,High,Low,Open,Symbol,Volume
771.820007,771.820007,2016-12-30,782.780029,770.409973,782.75,GOOG,1760200
782.789978,782.789978,2016-12-29,785.929993,778.919983,783.330017,GOOG,742200
785.049988,785.049988,2016-12-28,794.22998,783.200012,793.700012,GOOG,1132700
791.549988,791.549988,2016-12-27,797.859985,787.656982,790.679993,GOOG,789100
789.909973,789.909973,2016-12-23,792.73999,787.280029,790.900024,GOOG,623400
791.26001,791.26001,2016-12-22,793.320007,788.580017,792.359985,GOOG,969100
794.559998,794.559998,2016-12-21,796.676025,787.099976,795.840027,GOOG,1208700
796.419983,796.419983,2016-12-20,798.650024,793.27002,796.76001,GOOG,925100
794.200012,794.200012,2016-12-19,797.659973,786.27002,790.219971,GOOG,1225900
790.799988,790.799988,2016-12-16,800.856018,790.289978,800.400024,GOOG,2428300
797.849976,797.849976,2016-12-15,803.00,792.919983,797.340027,GOOG,1623700
797.070007,797.070007,2016-12-14,804.00,794.01001,797.400024,GOOG,1664500
796.099976,796.099976,2016-12-13,804.380005,793.340027,793.900024,GOOG,2119800
789.27002,789.27002,2016-12-12,791.25,784.35498,785.039978,GOOG,2097100
789.289978,789.289978,2016-12-09,789.429993,779.020996,780.00,GOOG,1780500
776.419983,776.419983,2016-12-08,778.179993,767.22998,772.47998,GOOG,1448200
771.190002,771.190002,2016-12-07,771.359985,755.799988,761.00,GOOG,1750800
759.109985,759.109985,2016-12-06,768.830017,757.340027,764.72998,GOOG,1632800
762.52002,762.52002,2016-12-05,763.900024,752.900024,757.710022,GOOG,1382900
750.50,750.50,2016-12-02,754.00,743.099976,744.590027,GOOG,1448700
747.919983,747.919983,2016-12-01,759.849976,737.025024,757.440002,GOOG,2996900
758.039978,758.039978,2016-11-30,772.98999,754.830017,770.070007,GOOG,2365800
770.840027,770.840027,2016-11-29,778.50,768.23999,771.530029,GOOG,1604500
768.23999,768.23999,2016-11-28,779.530029,759.799988,760.00,GOOG,2172200
761.679993,761.679993,2016-11-25,765.00,760.52002,764.26001,GOOG,586000
760.98999,760.98999,2016-11-23,768.28302,755.25,767.72998,GOOG,1477400
768.27002,768.27002,2016-11-22,776.960022,767.00,772.630005,GOOG,1591800
769.200012,769.200012,2016-11-21,769.700012,760.599976,762.609985,GOOG,1323000
760.539978,760.539978,2016-11-18,775.00,760.00,771.369995,GOOG,1526200
771.22998,771.22998,2016-11-17,772.700012,764.22998,766.919983,GOOG,1287000
764.47998,764.47998,2016-11-16,766.359985,750.51001,755.200012,GOOG,1465200
