gain,strategyName,MSFT,GOOG
-0.00013631612933562152,st1,0.5,0.5
-0.0001776055523975823,st2,0.2,0.8
-8.126356525300715e-05,st3,0.9,0.1
-0.0001500792703562751,st4,0.4,0.6
